ID,Latitude,Longitude,Day,Hour,Minute,Duration,Task Value
1,42.159404382317675,12.524725809122033,1,10,6,60,2
2,42.11736905737524,12.542027799313344,3,11,53,40,7
3,42.152250771998354,12.508414190057712,1,9,32,60,8
4,42.15462249712792,12.497912220264684,3,10,33,40,4
5,42.163098598660824,12.517941646888456,3,9,44,20,3
6,42.145581825604005,12.509057051686394,2,6,19,80,6
7,42.15320293837551,12.48835106615037,2,10,18,40,6
8,42.14881081534,12.501744407694236,1,11,48,20,7
9,42.15559170359223,12.479271800247101,3,9,59,60,8
10,42.15559636188094,12.475587550813584,2,18,27,80,6
11,42.150430873984945,12.513271481804244,1,0,21,10,2
12,42.14474061149098,12.49212835368823,3,16,12,50,3
13,42.15572421173514,12.499944977472401,2,10,18,40,1
14,42.15616803727227,12.500193628028489,2,11,43,40,9
15,42.1524441779103,12.507185220571609,1,10,49,60,5
16,42.163437488567695,12.51796904660087,2,3,10,100,5
17,42.156566528755995,12.491150346075251,3,9,13,60,6
18,42.14768168260588,12.505856963399374,1,10,32,60,2
19,42.14736674750232,12.476241819285274,2,10,38,40,4
20,42.14587613351928,12.496854789636213,1,10,45,40,3
21,42.1420568134756,12.491748290664429,3,13,14,30,10
22,42.15052962447606,12.510691267057663,1,9,28,40,5
23,42.143321975828975,12.464155514897339,3,9,2,20,9
24,42.14766646950433,12.489350658544499,2,12,36,70,8
25,42.14219322483378,12.496448184579851,2,14,47,30,4
26,42.14518574368339,12.47826622773537,1,11,46,60,5
27,42.152502809369,12.507445801429363,2,9,9,20,4
28,42.15179967725375,12.491370103360028,1,12,33,50,3
29,42.150141200692985,12.50492246336223,3,10,50,60,1
30,42.150759676183775,12.514345429101644,3,14,17,30,4
31,42.155519431151205,12.526532605774984,2,10,11,20,5
32,42.15007970218794,12.47393588434252,1,17,53,70,5
33,42.15061675460586,12.515006849487337,3,3,1,70,10
34,42.15264831666179,12.495859764744695,1,17,41,50,6
35,42.14872053120536,12.502716939813185,1,11,50,20,3
36,42.14763949251445,12.50680776057511,1,16,37,30,6
37,42.14368953456691,12.507225966557174,2,9,55,20,8
38,42.14087181166918,12.477538583517832,2,15,11,50,4
39,42.14983212634252,12.494094966792302,3,23,44,100,4
40,42.14372139083889,12.486732953228243,2,9,18,40,3
41,42.14390373844964,12.507867197555433,1,15,28,50,6
42,42.14256972010892,12.489316093331439,3,14,10,70,4
